frame,x1,y1,x2,y2,conf,track_id,mode
0,1183,340,1243,471,0.5127,,det
1,1183,340,1243,471,0.5127,,hold
2,1183,340,1243,471,0.5127,,hold
3,1183,340,1243,471,0.5127,,hold
4,1183,340,1243,471,0.5127,,hold
5,1183,340,1243,471,0.5127,,hold
6,1183,340,1243,471,0.5127,,hold
7,1183,340,1243,471,0.5127,,hold
8,1183,340,1243,471,0.5127,,hold
9,1183,340,1243,471,0.5127,,hold
10,1191,362,1245,469,0.4692,,det
11,1191,362,1245,469,0.4692,,hold
12,1191,362,1245,469,0.4692,,hold
13,1191,362,1245,469,0.4692,,hold
14,1191,362,1245,469,0.4692,,hold
15,1191,362,1245,469,0.4692,,hold
16,1191,362,1245,469,0.4692,,hold
17,1191,362,1245,469,0.4692,,hold
18,1191,362,1245,469,0.4692,,hold
19,1191,362,1245,469,0.4692,,hold
20,1192,335,1249,473,0.5142,,det
21,1192,335,1249,473,0.5142,,hold
22,1192,335,1249,473,0.5142,,hold
23,1192,335,1249,473,0.5142,,hold
24,1192,335,1249,473,0.5142,,hold
25,1192,335,1249,473,0.5142,,hold
26,1192,335,1249,473,0.5142,,hold
27,1192,335,1249,473,0.5142,,hold
28,1192,335,1249,473,0.5142,,hold
29,1192,335,1249,473,0.5142,,hold
30,1196,337,1248,472,0.6250,,det
31,1196,337,1248,472,0.6250,,hold
32,1196,337,1248,472,0.6250,,hold
33,1196,337,1248,472,0.6250,,hold
34,1196,337,1248,472,0.6250,,hold
35,1196,337,1248,472,0.6250,,hold
36,1196,337,1248,472,0.6250,,hold
37,1196,337,1248,472,0.6250,,hold
38,1196,337,1248,472,0.6250,,hold
39,1196,337,1248,472,0.6250,,hold
40,1200,338,1259,469,0.6899,,det
41,1200,338,1259,469,0.6899,,hold
42,1200,338,1259,469,0.6899,,hold
43,1200,338,1259,469,0.6899,,hold
44,1200,338,1259,469,0.6899,,hold
45,1200,338,1259,469,0.6899,,hold
46,1200,338,1259,469,0.6899,,hold
47,1200,338,1259,469,0.6899,,hold
48,1200,338,1259,469,0.6899,,hold
49,1200,338,1259,469,0.6899,,hold
50,1197,337,1259,468,0.6533,,det
51,1197,337,1259,468,0.6533,,hold
52,1197,337,1259,468,0.6533,,hold
53,1197,337,1259,468,0.6533,,hold
54,1197,337,1259,468,0.6533,,hold
55,1197,337,1259,468,0.6533,,hold
56,1197,337,1259,468,0.6533,,hold
57,1197,337,1259,468,0.6533,,hold
58,1197,337,1259,468,0.6533,,hold
59,1197,337,1259,468,0.6533,,hold
60,1210,339,1257,461,0.6387,,det
61,1210,339,1257,461,0.6387,,hold
62,1210,339,1257,461,0.6387,,hold
63,1210,339,1257,461,0.6387,,hold
64,1210,339,1257,461,0.6387,,hold
65,1210,339,1257,461,0.6387,,hold
66,1210,339,1257,461,0.6387,,hold
67,1210,339,1257,461,0.6387,,hold
68,1210,339,1257,461,0.6387,,hold
69,1210,339,1257,461,0.6387,,hold
70,1199,340,1254,459,0.5869,,det
71,1199,340,1254,459,0.5869,,hold
72,1199,340,1254,459,0.5869,,hold
73,1199,340,1254,459,0.5869,,hold
74,1199,340,1254,459,0.5869,,hold
75,1199,340,1254,459,0.5869,,hold
76,1199,340,1254,459,0.5869,,hold
77,1199,340,1254,459,0.5869,,hold
78,1199,340,1254,459,0.5869,,hold
79,1199,340,1254,459,0.5869,,hold
80,1192,335,1237,432,0.4985,,det
81,1192,335,1237,432,0.4985,,hold
82,1192,335,1237,432,0.4985,,hold
83,1192,335,1237,432,0.4985,,hold
84,1192,335,1237,432,0.4985,,hold
85,1192,335,1237,432,0.4985,,hold
86,1192,335,1237,432,0.4985,,hold
87,1192,335,1237,432,0.4985,,hold
88,1192,335,1237,432,0.4985,,hold
89,1192,335,1237,432,0.4985,,hold
90,1185,334,1244,470,0.7026,,det
91,1185,334,1244,470,0.7026,,hold
92,1185,334,1244,470,0.7026,,hold
93,1185,334,1244,470,0.7026,,hold
94,1185,334,1244,470,0.7026,,hold
95,1185,334,1244,470,0.7026,,hold
96,1185,334,1244,470,0.7026,,hold
97,1185,334,1244,470,0.7026,,hold
98,1185,334,1244,470,0.7026,,hold
99,1185,334,1244,470,0.7026,,hold
100,1185,334,1244,470,0.7026,,none
101,1185,334,1244,470,0.7026,,hold
102,1185,334,1244,470,0.7026,,hold
103,1185,334,1244,470,0.7026,,hold
104,1185,334,1244,470,0.7026,,hold
105,1185,334,1244,470,0.7026,,hold
106,1185,334,1244,470,0.7026,,hold
107,1185,334,1244,470,0.7026,,hold
108,1185,334,1244,470,0.7026,,hold
109,1185,334,1244,470,0.7026,,hold
110,1185,334,1244,470,0.7026,,none
111,1185,334,1244,470,0.7026,,hold
112,1185,334,1244,470,0.7026,,hold
113,1185,334,1244,470,0.7026,,hold
114,1185,334,1244,470,0.7026,,hold
115,1185,334,1244,470,0.7026,,hold
116,1185,334,1244,470,0.7026,,hold
117,1185,334,1244,470,0.7026,,hold
118,1185,334,1244,470,0.7026,,hold
119,1185,334,1244,470,0.7026,,hold
120,1174,335,1233,464,0.4832,,det
121,1174,335,1233,464,0.4832,,hold
122,1174,335,1233,464,0.4832,,hold
123,1174,335,1233,464,0.4832,,hold
124,1174,335,1233,464,0.4832,,hold
125,1174,335,1233,464,0.4832,,hold
126,1174,335,1233,464,0.4832,,hold
127,1174,335,1233,464,0.4832,,hold
128,1174,335,1233,464,0.4832,,hold
129,1174,335,1233,464,0.4832,,hold
130,1172,317,1219,459,0.5635,,det
131,1172,317,1219,459,0.5635,,hold
132,1172,317,1219,459,0.5635,,hold
133,1172,317,1219,459,0.5635,,hold
134,1172,317,1219,459,0.5635,,hold
135,1172,317,1219,459,0.5635,,hold
136,1172,317,1219,459,0.5635,,hold
137,1172,317,1219,459,0.5635,,hold
138,1172,317,1219,459,0.5635,,hold
139,1172,317,1219,459,0.5635,,hold
140,1178,344,1223,456,0.6987,,det
141,1178,344,1223,456,0.6987,,hold
142,1178,344,1223,456,0.6987,,hold
143,1178,344,1223,456,0.6987,,hold
144,1178,344,1223,456,0.6987,,hold
145,1178,344,1223,456,0.6987,,hold
146,1178,344,1223,456,0.6987,,hold
147,1178,344,1223,456,0.6987,,hold
148,1178,344,1223,456,0.6987,,hold
149,1178,344,1223,456,0.6987,,hold
150,1181,355,1226,450,0.4431,,det
151,1181,355,1226,450,0.4431,,hold
152,1181,355,1226,450,0.4431,,hold
153,1181,355,1226,450,0.4431,,hold
154,1181,355,1226,450,0.4431,,hold
155,1181,355,1226,450,0.4431,,hold
156,1181,355,1226,450,0.4431,,hold
157,1181,355,1226,450,0.4431,,hold
158,1181,355,1226,450,0.4431,,hold
159,1181,355,1226,450,0.4431,,hold
160,1175,341,1237,476,0.7646,,det
161,1175,341,1237,476,0.7646,,hold
162,1175,341,1237,476,0.7646,,hold
163,1175,341,1237,476,0.7646,,hold
164,1175,341,1237,476,0.7646,,hold
165,1175,341,1237,476,0.7646,,hold
166,1175,341,1237,476,0.7646,,hold
167,1175,341,1237,476,0.7646,,hold
168,1175,341,1237,476,0.7646,,hold
169,1175,341,1237,476,0.7646,,hold
170,1175,351,1254,479,0.7246,,det
171,1175,351,1254,479,0.7246,,hold
172,1175,351,1254,479,0.7246,,hold
173,1175,351,1254,479,0.7246,,hold
174,1175,351,1254,479,0.7246,,hold
175,1175,351,1254,479,0.7246,,hold
176,1175,351,1254,479,0.7246,,hold
177,1175,351,1254,479,0.7246,,hold
178,1175,351,1254,479,0.7246,,hold
179,1175,351,1254,479,0.7246,,hold
180,1200,346,1255,476,0.6641,,det
181,1200,346,1255,476,0.6641,,hold
182,1200,346,1255,476,0.6641,,hold
183,1200,346,1255,476,0.6641,,hold
184,1200,346,1255,476,0.6641,,hold
185,1200,346,1255,476,0.6641,,hold
186,1200,346,1255,476,0.6641,,hold
187,1200,346,1255,476,0.6641,,hold
188,1200,346,1255,476,0.6641,,hold
189,1200,346,1255,476,0.6641,,hold
190,1201,339,1261,476,0.7441,,det
191,1201,339,1261,476,0.7441,,hold
192,1201,339,1261,476,0.7441,,hold
193,1201,339,1261,476,0.7441,,hold
194,1201,339,1261,476,0.7441,,hold
195,1201,339,1261,476,0.7441,,hold
196,1201,339,1261,476,0.7441,,hold
197,1201,339,1261,476,0.7441,,hold
198,1201,339,1261,476,0.7441,,hold
199,1201,339,1261,476,0.7441,,hold
200,1213,348,1267,470,0.7603,,det
201,1213,348,1267,470,0.7603,,hold
202,1213,348,1267,470,0.7603,,hold
203,1213,348,1267,470,0.7603,,hold
204,1213,348,1267,470,0.7603,,hold
205,1213,348,1267,470,0.7603,,hold
206,1213,348,1267,470,0.7603,,hold
207,1213,348,1267,470,0.7603,,hold
208,1213,348,1267,470,0.7603,,hold
209,1213,348,1267,470,0.7603,,hold
210,1214,353,1282,475,0.5952,,det
211,1214,353,1282,475,0.5952,,hold
212,1214,353,1282,475,0.5952,,hold
213,1214,353,1282,475,0.5952,,hold
214,1214,353,1282,475,0.5952,,hold
215,1214,353,1282,475,0.5952,,hold
216,1214,353,1282,475,0.5952,,hold
217,1214,353,1282,475,0.5952,,hold
218,1214,353,1282,475,0.5952,,hold
219,1214,353,1282,475,0.5952,,hold
220,1251,345,1302,429,0.5713,,det
221,1251,345,1302,429,0.5713,,hold
222,1251,345,1302,429,0.5713,,hold
223,1251,345,1302,429,0.5713,,hold
224,1251,345,1302,429,0.5713,,hold
225,1251,345,1302,429,0.5713,,hold
226,1251,345,1302,429,0.5713,,hold
227,1251,345,1302,429,0.5713,,hold
228,1251,345,1302,429,0.5713,,hold
229,1251,345,1302,429,0.5713,,hold
230,1257,352,1337,476,0.4717,,det
231,1257,352,1337,476,0.4717,,hold
232,1257,352,1337,476,0.4717,,hold
233,1257,352,1337,476,0.4717,,hold
234,1257,352,1337,476,0.4717,,hold
235,1257,352,1337,476,0.4717,,hold
